,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,OvernightVisits,Spending,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
1970.75,0.00712,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.018018506,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971,0.01475,72.2,3.8,0.010465434,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.018349139,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971.25,0.01509,72,4.1,0.012234457,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.062800901,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971.5,0.0287,71.7,4.2,0.025381731,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.046717625,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1971.75,0.02328,71.5,4.4,0.018562419,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.00415801,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972,0.03577,71.8,4.5,0.026435816,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.083881484,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972.25,0.03801,71.9,4.4,0.039211079,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.037598414,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972.5,0.05225,72,4.3,0.061105182,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.108308197,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1972.75,0.02755,72.2,4.2,0.030144142,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.11557309,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973,0.02755,72.8,3.9,0.046769243,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.076633226,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973.25,0.02201,73,3.7,0.02108101,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.050610001,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973.5,0.01693,72.9,3.6,0.028299396,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.108213585,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1973.75,0.02679,73,3.4,0.005044127,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.045565969,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1974,0.00707,72.9,3.6,0.005976624,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.040914798,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1974.25,0.00434,73,3.6,0.000988156,-99999999,2.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.013825105,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1974.5,0.00519,73.1,3.7,0.003930294,-99999999,2.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.03595893,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1974.75,0.00255,73.1,3.7,0.005829544,-99999999,2.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.053718607,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1975,0.0076,72.9,4,0.001925921,-99999999,3.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.023281475,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1975.25,0.01401,72.7,4.3,0.011379546,-99999999,3.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.023281475,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1975.5,0.00998,72.6,4.7,0.012909916,-99999999,4.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.060870715,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1975.75,0.0121,72.3,5,0.004519234,-99999999,4.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.019881371,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1976,0.00878,72.1,5.3,0.008899789,-99999999,4.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.052798185,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1976.25,0.00822,72,5.4,0.011303598,-99999999,4.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.003802286,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1976.5,0.00951,71.9,5.5,0.010179243,-99999999,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.028065453,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1976.75,0.00756,71.8,5.5,0.006655984,-99999999,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.023702112,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977,0.00706,71.8,5.5,0.003290125,-99999999,4.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.021858794,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977.25,0.00969,71.6,5.5,0.006506406,-99999999,5.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.041484758,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977.5,0.00951,71.6,5.7,0.012727489,-99999999,5.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.005286356,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977.75,0.00599,71.5,5.7,0.013126343,-99999999,5.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.029439356,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978,0.02157,71.5,5.6,0.009776739,-99999999,5.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.062830579,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978.25,0.02058,71.5,5.6,0.020338575,-99999999,5.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.011155494,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978.5,0.04063,71.5,5.5,0.029489878,-99999999,5.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.061463274,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978.75,0.02417,71.7,5.4,0.029476718,-99999999,5.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.050846101,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979,0.02436,71.8,5.4,0.022338344,-99999999,5.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.034798222,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979.25,0.03021,71.7,5.3,0.032310767,-99999999,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.098910209,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979.5,0.03099,71.8,5.4,0.032106636,-99999999,4.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.080900218,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979.75,0.03031,71.7,5.5,0.027997013,-99999999,4.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.062035391,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980,0.01383,71.5,5.8,0.016795435,-99999999,5.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.008556201,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.25,0.01266,71.2,6.3,0.01705094,-99999999,6.1,-99999999,0.009340026,0.042240917,0.037055327,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.050867219,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.5,0.00519,70.7,7.1,0.017253291,-99999999,7.2,-99999999,0.076090169,0.024705873,0.053121304,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.02794593,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.75,-0.00241,69.9,8,0.000844931,-99999999,8.4,-99999999,-0.049218023,-0.010123873,-0.023481096,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.048039977,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981,0.00427,69.3,8.9,0.00084329,-99999999,9.2,-99999999,-0.017728767,-0.018839823,0.00300551,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.035325869,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.25,0.00668,68.7,9.6,0.011637295,-99999999,9.9,-99999999,0.034762106,0.012650248,-0.016793795,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.05114751,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.5,0.00162,68.2,9.9,0.006916311,-99999999,10.3,-99999999,-0.113943352,-0.02568006,-0.014240439,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.08153318,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.75,-0.00706,67.7,10.2,-0.008559812,-99999999,10.6,-99999999,-0.110698297,-0.090346244,-0.079181246,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.109624914,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982,0.00685,67.4,10.4,-0.010837085,-99999999,11.1,-99999999,0.013788284,-0.010995384,0.007652964,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.005681833,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.25,0.00892,67.1,10.6,0.018588907,-99999999,11.3,-99999999,-0.073786214,0.010995384,0.044998234,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.082436876,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.5,0.00508,66.6,10.8,0.010783037,-99999999,11.7,-99999999,0.073786214,0.06069784,0.034498977,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.022356907,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.75,0.0105,66.1,11.1,0.006265854,-99999999,12,-99999999,0.063051746,-0.049973975,-0.024359346,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.004242687,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983,0.01218,65.7,11.3,0.012644667,-99999999,12.2,-99999999,0.08501079,-0.027323127,-0.020521667,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.009357788,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.25,0.01745,65.6,11.4,0.014849121,-99999999,12.4,-99999999,0.036983566,0.029963223,0.013788284,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.04184711,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.5,0.01234,65.9,11.5,0.017874724,-99999999,12.3,-99999999,0.04219768,0.05897786,0.065976299,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.063513406,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.75,0.00685,66.3,11.7,0.003488328,-99999999,12.4,-99999999,-0.060295902,-0.023608773,-0.022429829,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.015267472,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984,0.01568,66.5,11.8,0.003460532,-99999999,12.3,-99999999,0.026872146,-0.024966326,-0.014035873,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.038614836,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.25,0.01662,66.7,11.9,0.013572807,-99999999,12.4,-99999999,0.008600172,0.020086562,0.026142426,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.007843178,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.5,0.00589,66.8,11.7,0.016390416,-99999999,12.8,-99999999,-0.094786319,0.007299239,0.007398722,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.030771659,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.75,0.01756,67.1,11.6,0.006386799,-99999999,12.9,-99999999,-0.02171925,-0.0273858,-0.031959017,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.015037877,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985,0.00869,67.3,11.5,0,-99999999,13,-99999999,0.032184683,0.002562217,0.015512166,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.036634133,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.25,0.01255,67.4,11.4,0.015567777,-99999999,13.1,-99999999,-0.091770373,-0.020933907,-0.023481096,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.007220248,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.5,0.00664,67.5,11.3,0.009079658,-99999999,13.2,-99999999,0,0.031034234,0.029534079,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.028573373,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.75,0.00912,67.5,11.3,0.014723257,-99999999,13.1,-99999999,0.012589127,-0.033723372,-0.006052983,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986,0.00257,67.6,11.3,0.008600172,-99999999,13.3,-99999999,0.057991947,-0.033639608,-0.029963223,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.007017573,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.25,0.01635,67.6,11.3,0.019428552,-99999999,13.2,-99999999,-0.033858267,-0.002924553,0.003253157,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.006968669,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.5,0.01427,67.8,11.4,0.018596488,-99999999,12.8,-99999999,0.103896134,0.099251229,0.078370238,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.086432506,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.75,0.01498,67.9,11.3,0.012811976,-99999999,12.5,-99999999,0.018098222,-0.019092942,0.047377994,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.012820689,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987,0.01391,68.1,11.1,0.012444819,-99999999,12,-99999999,0.008773924,0.028333599,-0.026253126,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.031748698,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.25,0.02181,68.5,10.7,0.019198462,-99999999,11.6,-99999999,-0.065501549,-0.013935778,-0.021124868,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.00623055,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.5,0.01438,69.1,10.2,0.020630002,-99999999,11.2,-99999999,0.019744058,0.069635928,0.060521334,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.042559615,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.75,-0.00077,69.7,9.7,0.024987471,-99999999,10.6,-99999999,0.233278211,0.049361615,0.031764141,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.039935291,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988,0.00715,70.2,9.2,0.017850231,-99999999,10,-99999999,0.057991947,0.02780434,0.024458784,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.25,0.0355,70.7,8.7,0.025470819,-99999999,9.5,-99999999,-0.06366908,-0.003379741,-0.008352074,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.062520357,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.5,0.04562,71.1,8.4,0.054195944,-99999999,9,-99999999,-0.017490732,0,0.020586531,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.141078598,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.75,0.02253,71.5,8,0.02590057,-99999999,8.5,-99999999,-0.01822482,0.010061326,0.004002742,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.025975486,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989,0.01703,72.1,7.6,0.009048129,-99999999,7.5,-99999999,0.113943352,0.058819963,0.041754748,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.126293726,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
