Time,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1976.75,0.00756,71.8,5.5,0.006655984,-99999999,4.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.019960743,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977,0.00706,71.8,5.5,0.003290125,-99999999,4.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.009930568,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977.25,0.00969,71.6,5.5,0.006506406,-99999999,4.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.019763489,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977.5,0.00951,71.6,5.7,0.012727489,-99999999,4.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.028931623,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1977.75,0.00599,71.5,5.7,0.013126343,-99999999,4.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.053666901,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978,0.02157,71.5,5.6,0.009776739,-99999999,4.4,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.005390849,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978.25,0.02058,71.5,5.6,0.020338575,-99999999,4.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.043828224,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978.5,0.04063,71.5,5.5,0.029489878,-99999999,4.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.056681838,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1978.75,0.02417,71.7,5.4,0.029476718,-99999999,3.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.088361087,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979,0.02436,71.8,5.4,0.022338344,-99999999,3.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.052034859,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979.25,0.03021,71.7,5.3,0.032310767,-99999999,3.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.085014079,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979.5,0.03099,71.8,5.4,0.032106636,-99999999,3.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.066315725,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1979.75,0.03031,71.7,5.5,0.027997013,-99999999,3.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.08579999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980,0.01383,71.5,5.8,0.016795435,-99999999,3.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.040288519,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.25,0.01266,71.2,6.3,0.01705094,-99999999,3.9,-99999999,0,0.023481096,0.020007405,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.023207793,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.5,0.00519,70.7,7.1,0.017253291,-99999999,4.5,-99999999,0.034154276,0.028028724,0.035553027,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.094456654,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.75,-0.00241,69.9,8,0.000844931,-99999999,5.4,-99999999,-0.097823356,-0.024991687,-0.024377582,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.016260522,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981,0.00427,69.3,8.9,0.00084329,-99999999,5.8,-99999999,0.017911589,-0.028129617,-0.019487555,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.043356544,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.25,0.00668,68.7,9.6,0.011637295,-99999999,6.3,-99999999,0.004364805,0.001611484,0.001047756,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.049125791,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.5,0.00162,68.2,9.9,0.006916311,-99999999,6.5,-99999999,0.012837225,0.020422671,0.02540458,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.031149285,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.75,-0.00706,67.7,10.2,-0.008559812,-99999999,6.8,-99999999,-0.083418299,-0.057334755,-0.03814763,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.065282292,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982,0.00685,67.4,10.4,-0.010837085,-99999999,7,-99999999,0,-0.001754728,0.015871236,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.022561036,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.25,0.00892,67.1,10.6,0.018588907,-99999999,7.1,-99999999,0.04830468,0.032184683,0.026206688,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.029624717,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.5,0.00508,66.6,10.8,0.010783037,-99999999,7.4,-99999999,0.04758226,0.034510851,0.02931064,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.008438869,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.75,0.0105,66.1,11.1,0.006265854,-99999999,7.7,-99999999,0.042879996,0.017728767,0.017911589,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.038466281,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983,0.01218,65.7,11.3,0.012644667,-99999999,7.9,-99999999,-0.018967839,-0.042552351,-0.015177302,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.002699057,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.25,0.01745,65.6,11.4,0.014849121,-99999999,8.1,-99999999,0.06472533,0.046873724,0.028142279,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.061154424,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.5,0.01234,65.9,11.5,0.017874724,-99999999,8.2,-99999999,0.029071448,0.055115814,0.050584446,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.016807118,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.75,0.00685,66.3,11.7,0.003488328,-99999999,8.3,-99999999,-0.03242509,-0.031408464,-0.01307983,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.032789823,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984,0.01568,66.5,11.8,0.003460532,-99999999,8.1,-99999999,-0.006785989,-0.001359295,-0.003923193,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.02449102,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.25,0.01662,66.7,11.9,0.013572807,-99999999,8.2,-99999999,0.003406249,0.01865355,0.029700413,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.040491361,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.5,0.00589,66.8,11.7,0.016390416,-99999999,8.4,-99999999,0.038918066,0.02778412,0.020136463,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.031252543,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.75,0.01756,67.1,11.6,0.006386799,-99999999,8.6,-99999999,0,0.022643249,0.010415235,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.015267472,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985,0.00869,67.3,11.5,0,-99999999,8.5,-99999999,-0.02885674,-0.026328939,-0.006915663,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.015267472,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.25,0.01255,67.4,11.4,0.015567777,-99999999,8.6,-99999999,0.044096707,0.047849887,0.027680033,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.066939483,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.5,0.00664,67.5,11.3,0.009079658,-99999999,8.7,-99999999,0.014723257,0.014133483,0.019191391,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.014285957,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.75,0.00912,67.5,11.3,0.014723257,-99999999,8.7,-99999999,-0.002904991,-0.005381661,0.004358548,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.041672697,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986,0.00257,67.6,11.3,0.008600172,-99999999,8.8,-99999999,-0.005868934,-0.015433408,-0.023549939,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.02684725,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.25,0.01635,67.6,11.3,0.019428552,-99999999,8.8,-99999999,0.04219768,0.037601486,0.02540458,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.045315197,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.5,0.01427,67.8,11.4,0.018596488,-99999999,8.7,-99999999,0.010593073,-0.005176396,0.024583614,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.037271394,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1986.75,0.01498,67.9,11.3,0.012811976,-99999999,8.5,-99999999,0.007778617,0,-0.004099911,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.030032287,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987,0.01391,68.1,11.1,0.012444819,-99999999,8,-99999999,0.005109406,0.049180826,0.035576154,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.04058528,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.25,0.02181,68.5,10.7,0.019198462,-99999999,7.6,-99999999,0.072355259,0.032251104,0.013347531,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.039002158,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.5,0.01438,69.1,10.2,0.020630002,-99999999,7.2,-99999999,0.089100311,0.083049308,0.062568327,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.042787275,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1987.75,-0.00077,69.7,9.7,0.024987471,-99999999,6.8,-99999999,-0.052029,-0.017461427,-0.005958751,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.067785431,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988,0.00715,70.2,9.2,0.017850231,-99999999,6.2,-99999999,0.037788561,-0.005980053,0.006868269,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.053345981,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.25,0.0355,70.7,8.7,0.025470819,-99999999,5.8,-99999999,0.054357662,0.062950021,0.039488789,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.068992871,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.5,0.04562,71.1,8.4,0.054195944,-99999999,5.4,-99999999,0.033778426,0.050355984,0.038479343,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.197359434,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.75,0.02253,71.5,8,0.02590057,-99999999,4.9,-99999999,-0.048391582,-0.035632727,-0.020203386,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.094857793,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989,0.01703,72.1,7.6,0.009048129,-99999999,4.4,-99999999,0.04393724,0.046512129,0.035495712,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.051055171,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.25,0.01933,72.4,7.2,0.015394328,-99999999,4.1,-99999999,0.0288674,0.033716872,0.029058265,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.028170877,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.5,0.00374,72.6,7.1,0.014867277,-99999999,3.9,-99999999,-0.039442049,-0.031460792,-0.01005597,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.062800901,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.75,-0.00899,72.8,7,-0.008433168,-99999999,3.8,-99999999,-0.080406337,-0.020149812,-0.011373337,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.049007579,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
