Time,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1988.5,0.04562,71.1,8.4,0.054195944,-99999999,8.5,-99999999,-0.002722858,0.030876566,0.038778971,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.118657544,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1988.75,0.02253,71.5,8,0.02590057,-99999999,7.9,-99999999,0.070444482,0.052852307,0.041931958,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.155149182,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989,0.01703,72.1,7.6,0.009048129,-99999999,7.4,-99999999,0.009191761,0.00225608,0.003132483,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.041061487,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.25,0.01933,72.4,7.2,0.015394328,-99999999,6.9,-99999999,-0.030613365,0.003734283,0.010136201,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.093218129,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.5,0.00374,72.6,7.1,0.014867277,-99999999,6.7,-99999999,-0.022533298,0.023167865,0.02000534,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.080445365,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1989.75,-0.00899,72.8,7,-0.008433168,-99999999,6.5,-99999999,-0.037555006,0.006299305,-0.001249769,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.009708814,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990,-0.01369,72.8,6.9,-0.009467027,-99999999,6.2,-99999999,0.013788284,0.025633511,0.033701793,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.012195117,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990.25,-0.00443,72.8,6.9,-0.003922405,-99999999,6.1,-99999999,-0.114214871,0.018592566,0.009922801,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.008105414,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990.5,-0.01298,72.7,7.1,0.007809702,-99999999,6.4,-99999999,-0.010723865,0.009313319,-0.002269837,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.025897862,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1990.75,-0.01802,72.3,7.5,-0.006498293,-99999999,6.9,-99999999,0.12764463,-0.048015704,-0.026993215,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.008888948,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991,-0.00295,71.7,8,-0.006154073,-99999999,7.6,-99999999,-0.202504502,-0.009713061,-0.005279007,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.011976191,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991.25,0.00688,71,8.7,-0.001774444,-99999999,8.3,-99999999,0.096049171,-0.022313323,-0.03177632,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.055651255,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991.5,-0.00406,70.3,9.2,0.008364775,-99999999,8.7,-99999999,-0.08753332,-0.008201513,0.00262944,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.002844952,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1991.75,-0.01015,69.8,9.5,-0.003942186,-99999999,8.9,-99999999,-0.012837225,0.008939482,0.003914549,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.0104713,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992,-0.01189,69.4,9.7,-0.007097923,-99999999,9.1,-99999999,0.004321374,-0.008187456,-0.002170392,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.015429429,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992.25,0.00395,69.1,9.8,-0.010410893,-99999999,9.3,-99999999,0.016867925,0.025532636,0.002603172,9.6,68.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.016385909,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992.5,-0.00348,68.9,9.9,0.001279219,-99999999,9.6,-99999999,0.068715812,0.022772043,0.020694658,9.1,69.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.011881328,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1992.75,-0.0176,68.5,10.4,-0.016931164,-99999999,10.1,-99999999,0.017304858,-0.051320626,-0.030759364,9.7,69,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.117906075,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993,-0.00034,68.4,10.6,0.002207908,-99999999,9.9,-99999999,0.019894829,0.000755952,-0.002664392,10,68.6,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.12085448,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993.25,0.01524,68.4,10.4,0.00350947,-99999999,9.8,-99999999,0.048986461,-0.005319509,-0.009456241,10.2,69,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.051344946,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993.5,-0.00144,68.5,10.2,0.009079658,-99999999,9.6,-99999999,-0.017728767,-0.009273544,0.008564466,10.4,68.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.058190939,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1993.75,-0.00588,68.5,10.3,-0.008206704,-99999999,9.4,-99999999,0.03753716,0.01307983,0.010146498,10.3,68.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.043831717,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994,0.00235,68.7,9.9,0.004770132,-99999999,9.4,-99999999,0.013615362,-0.01307983,-0.007476647,9.7,68.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.030092541,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994.25,0.0003,68.8,9.7,0.005996271,-99999999,9.2,-99999999,0.028531089,0.048715593,0.016965086,10.1,67.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.035197198,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994.5,0.00311,69,9.4,0.007171611,-99999999,8.9,-99999999,-0.017938015,0.019122972,0.024467925,9.5,68.3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.003075348,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1994.75,0.0032,69.1,9,-0.002938688,-99999999,8.6,-99999999,-0.013282212,-0.028296064,-0.002426232,9.2,68.5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.005120339,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995,-0.00867,69.2,8.9,-0.003807769,-99999999,8.3,-99999999,0,-0.037205485,-0.012756132,9,68.7,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.034289073,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995.25,0.00464,69.4,8.7,0.004649426,-99999999,8.2,-99999999,0.046027155,0.009984221,-0.010995384,8.2,69.8,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0.004242538,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995.5,-0.00252,69.6,8.6,0.003767397,-99999999,8,-99999999,-0.046027155,0.041944521,0.038893591,8.6,69.2,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.012297096,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1995.75,-0.00343,69.9,8.3,-0.005874604,-99999999,7.9,-99999999,-0.051489839,-0.00694886,0.001563618,7.8,70.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.008508249,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1996,0.00371,69.9,8.2,0.006291194,-99999999,7.9,-99999999,0,0.011747743,0.022432447,7.9,69.9,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-0.013057277,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1996.25,0.01385,69.9,8.3,0.00041619,-99999999,7.8,-99999999,0.067380434,0.023875632,-0.004469622,8.4,69.1,-99999999,0.004,-99999999,-99999999,-99999999,-99999999,0.027997145,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
