,UKQuarterlyHPI,UKEmp,UKUnEmp,UKMonthlyHousePrice,RegCBI,RegCC,BusinessBirths,ConstructionOutput_TNH,ConstructionOutput_ANW,ConstructionOutput_AW,Unemployment,Employment,PublicEMP,WorkforceJobs,Exports,Imports,PayrollEMP,PayrollPayMedian,HousePrice,PMIAC,PMINB,PMIOB,PMICH,PMIPR,PMIEM,HousingRental,PMIFU
Tcode,5,1,1,5,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lag ,0,2,2,2,1,0,1,2,2,2,2,2,3,3,4,4,0,0,2,0,0,0,0,0,0,0,0
1980,0.013826,71.5,5.8,0.016795,-99999999,7.1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.25,0.012659,71.2,6.3,0.017051,-99999999,7.7,-99999999,-0.061518,0.010465,0.007721,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.5,0.005192,70.7,7.1,0.017253,-99999999,8.5,-99999999,-0.009545,0.046532,0.052214,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1980.75,-0.002413,69.9,8,0.000845,-99999999,10,-99999999,-0.051153,-0.036313,-0.039024,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981,0.004275,69.3,8.9,0.000843,-99999999,11.2,-99999999,-0.09691,-0.056551,-0.046997,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.25,0.006685,68.7,9.6,0.011637,-99999999,11.8,-99999999,0.074634,0.030538,0.026086,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.5,0.001621,68.2,9.9,0.006916,-99999999,12.4,-99999999,-0.023481,-0.005395,0,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1981.75,-0.007058,67.7,10.2,-0.00856,-99999999,12.7,-99999999,-0.012234,-0.028029,-0.024022,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982,0.006853,67.4,10.4,-0.010837,-99999999,13,-99999999,0.024134,-0.008774,0.002053,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.25,0.008922,67.1,10.6,0.018589,-99999999,13.4,-99999999,0.044582,0.017374,0.012121,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.5,0.005079,66.6,10.8,0.010783,-99999999,13.9,-99999999,-0.033,0.011208,0.03812,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1982.75,0.010498,66.1,11.1,0.006266,-99999999,14.2,-99999999,0.053685,0.010926,0.00544,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983,0.012181,65.7,11.3,0.012645,-99999999,14.4,-99999999,0.082535,0.005362,0.015923,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.25,0.017451,65.6,11.4,0.014849,-99999999,14.8,-99999999,-0.043905,-0.047835,-0.032452,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.5,0.01234,65.9,11.5,0.017875,-99999999,14.8,-99999999,0.043905,0.058364,0.047812,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1983.75,0.006848,66.3,11.7,0.003488,-99999999,15,-99999999,0.008273,0.007732,0.001674,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984,0.015677,66.5,11.8,0.003461,-99999999,15.1,-99999999,-0.043035,-0.057263,-0.042061,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.25,0.016616,66.7,11.9,0.013573,-99999999,15.4,-99999999,0.051153,0.077234,0.060057,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.5,0.005893,66.8,11.7,0.01639,-99999999,15.6,-99999999,-0.024824,-0.004907,0.011076,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1984.75,0.017555,67.1,11.6,0.006387,-99999999,15.7,-99999999,0,0.002461,0.009274,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985,0.008686,67.3,11.5,0,-99999999,15.4,-99999999,-0.035472,0.023868,0.012065,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.25,0.012549,67.4,11.4,0.015568,-99999999,15.5,-99999999,-0.028645,-0.038845,-0.027632,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
1985.5,0.00664,67.5,11.3,0.00908,-99999999,15.6,-99999999,0.064117,0.036517,0.026142,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999
